"customer","sale_date","seller"
"Cristina Xu","1992-09","Abraham Bennet"
"Jacob Martinez","1992-09","Michael O'Leary"
"Jared Gray","1992-09","Dirk Stringer"
"Kaitlyn Allen","1992-09","Dirk Stringer"
"Karen Huang","1992-09","Dirk Stringer"
"Krista Gill","1992-09","Marjorie Green"
"Kristen Li","1992-09","Michael O'Leary"
"Levi Gonzalez","1992-09","Marjorie Green"
"Mario Rai","1992-09","Abraham Bennet"
"Mya Coleman","1992-09","Michael O'Leary"
"Olivia Bennett","1992-09","Michael O'Leary"
"Richard Martinez","1992-09","Abraham Bennet"
"Samuel Sharma","1992-09","Michael O'Leary"
"Tyrone Ruiz","1992-09","Marjorie Green"
"Willie Gao","1992-09","Michael O'Leary"
